Poster_Link,Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross
"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",the shawshank redempt,1994,a,142 min,drama,9.3,two imprison men bond over a number of year find solac and eventu redempt through act of common decenc,0.0,frank darabont,tim robbin,morgan freeman,bob gunton,william sadler,0.0,28 341 469
"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",the godfath,1972,a,175 min,crime drama,9.2,an organ crime dynasti s age patriarch transfer control of hi clandestin empir to hi reluct son,0.0,franci ford coppola,marlon brando,al pacino,jame caan,dian keaton,0.0,134 966 411
"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",the dark knight,2008,ua,152 min,action crime drama,9.0,when the menac known as the joker wreak havoc and chao on the peopl of gotham batman must accept one of the greatest psycholog and physic test of hi abil to fight injustic,0.0,christoph nolan,christian bale,heath ledger,aaron eckhart,michael cain,0.0,534 858 444
"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",the godfath part ii,1974,a,202 min,crime drama,9.0,the earli life and career of vito corleon in 1920 new york citi is portray while hi son michael expand and tighten hi grip on the famili crime syndic,0.0,franci ford coppola,al pacino,robert de niro,robert duval,dian keaton,0.0,57 300 000
"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",12 angri men,1957,u,96 min,crime drama,9.0,a juri holdout attempt to prevent a miscarriag of justic by forc hi colleagu to reconsid the evid,0.0,sidney lumet,henri fonda,lee j cobb,martin balsam,john fiedler,0.0,4 360 000
"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",the lord of the ring the return of the king,2003,u,201 min,action adventur drama,8.9,gandalf and aragorn lead the world of men against sauron s armi to draw hi gaze from frodo and sam as they approach mount doom with the one ring,0.0,peter jackson,elijah wood,viggo mortensen,ian mckellen,orlando bloom,0.0,377 845 905
"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",pulp fiction,1994,a,154 min,crime drama,8.9,the live of two mob hitmen a boxer a gangster and hi wife and a pair of diner bandit intertwin in four tale of violenc and redempt,0.0,quentin tarantino,john travolta,uma thurman,samuel l jackson,bruce willi,0.0,107 928 762
"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",schindler s list,1993,a,195 min,biographi drama histori,8.9,in german occupi poland dure world war ii industrialist oskar schindler gradual becom concern for hi jewish workforc after wit their persecut by the nazi,0.0,steven spielberg,liam neeson,ralph fienn,ben kingsley,carolin goodal,0.0,96 898 818
"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",incept,2010,ua,148 min,action adventur sci fi,8.8,a thief who steal corpor secret through the use of dream share technolog is given the invers task of plant an idea into the mind of a c e o,0.0,christoph nolan,leonardo dicaprio,joseph gordon levitt,elliot page,ken watanab,0.0,292 576 195
"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",fight club,1999,a,139 min,drama,8.8,an insomniac offic worker and a devil may care soapmak form an underground fight club that evolv into someth much much more,0.0,david fincher,brad pitt,edward norton,meat loaf,zach grenier,0.0,37 030 102
